original_name,original_url,POWO_accepted,POWO_name,Names equal?,POWO_rank,POWO_url,POWO_url_full
Agrostis alba fo. maritima,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389083,not found,not found,FALSE,not found,not found,
Agrostis alba subvar. coarctata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389093,TRUE,Agrostis vinealis,FALSE,Species,/taxon/urn:lsid:ipni.org:names:386503-1,
Agrostis canina,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389335,TRUE,Agrostis canina,TRUE,Species,/taxon/urn:lsid:ipni.org:names:385537-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385537-1
Agrostis canina var. alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:476524,FALSE,Agrostis canina var. alba,TRUE,Variety,/taxon/urn:lsid:ipni.org:names:77261961-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77261961-1
Agrostis stolonifera,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:390383,TRUE,Agrostis gigantea subsp. gigantea,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77170996-1,
Agrostis truncatula var. leiolemma,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:390589,TRUE,Agrostula truncatula,FALSE,Species,/taxon/urn:lsid:ipni.org:names:77212590-1,
Agrostis vinealis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:390633,TRUE,Agrostis castellana,FALSE,Species,/taxon/urn:lsid:ipni.org:names:271894-2,
Agrostula truncatula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:540019,TRUE,Agrostula truncatula,TRUE,Species,/taxon/urn:lsid:ipni.org:names:77212590-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77212590-1
Ailanthus altissima,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2626815,TRUE,Ailanthus altissima,TRUE,Species,/taxon/urn:lsid:ipni.org:names:813521-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813521-1
Ailanthus altissimum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2435079,not found,not found,FALSE,not found,not found,
